instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario88,1,0,20,80,60,60,0,100,100,1.0,False,0.998,0
scenario89,1,40,60,80,20,30,0,100,100,1.0,False,0.645,0
scenario90,1,40,80,100,60,60,0,100,100,0.8,False,0.821,0
scenario91,1,40,60,100,40,60,20,100,100,0.8,False,1.733,0
scenario92,1,0,100,60,20,-90,0,100,80,0.1,False,1.01,0
scenario93,1,0,100,60,20,0,20,100,80,1.0,False,1.737,0
scenario94,0,20,60,100,40,30,20,20,100,1.0,False,1.022,0
scenario95,1,20,60,80,20,30,0,100,100,1.0,False,0.591,0
scenario96,1,100,80,0,40,30,0,100,100,0.8,False,0.797,0
scenario97,1,20,60,80,20,30,0,100,100,1.0,False,0.743,0
scenario98,1,20,100,40,40,-60,0,100,100,0.8,False,2.225,0
scenario99,1,0,100,60,20,0,0,100,60,0.8,False,0.782,0
scenario100,1,0,80,20,20,-30,20,0,80,1.0,False,0.934,0
scenario101,0,20,60,100,60,60,40,20,100,1.0,False,1.402,0
scenario102,0,20,60,80,40,-30,0,100,100,1.0,False,1.483,0
scenario103,1,100,100,0,40,60,0,100,100,0.6,False,1.583,0
scenario104,1,60,60,80,20,-90,0,20,100,0.8,False,2.134,0
scenario105,0,0,0,40,40,-30,20,100,80,1.0,False,1.476,0
scenario106,1,100,80,0,40,0,0,80,100,0.4,False,2.177,0
scenario107,0,100,60,0,40,-30,20,40,100,0.6,False,1.054,0
scenario108,0,20,60,100,60,60,0,20,80,1.0,False,1.453,0
scenario109,1,20,60,80,20,30,0,100,100,1.0,False,0.684,0
scenario110,0,40,80,40,20,30,0,80,80,1.0,False,0.966,0
scenario111,1,100,100,20,20,-60,0,0,100,1.0,False,0.808,0
scenario112,0,20,40,20,0,-30,40,80,80,1.0,False,1.424,0
scenario113,1,0,100,20,60,-30,0,80,100,0.8,False,1.647,0
scenario114,1,40,60,100,20,90,20,100,80,1.0,False,1.784,0
scenario115,0,0,100,40,80,-60,20,0,40,0.8,False,1.388,0
scenario116,1,20,80,80,20,0,0,100,80,0.8,False,0.932,0
scenario117,0,100,100,0,40,90,0,100,100,0.6,False,1.499,0
