Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,c1,base,left,left,right,0,60,40,0,0,60,80,0.8,False,4.94,0
scenario2,c2,base,left,right,left,0,20,20,40,80,40,100,0.2,False,3.012,0
scenario3,c1,left,right,base,left,60,0,80,60,0,0,40,1.0,False,10.562,0
scenario4,c2,right,left,base,left,0,0,100,20,20,0,40,0.6,False,764.204,0
scenario5,c4,right,base,left,base,40,60,0,40,40,80,60,0.2,False,4628.562,0
scenario6,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,3944.205,0
scenario7,c4,right,base,left,base,80,100,60,40,80,0,100,0.2,False,3.468,0
scenario8,c4,left,right,right,base,60,100,40,20,40,40,80,0.6,False,4.866,0
scenario9,c1,base,right,left,right,60,80,40,0,20,80,0,1.0,False,3.891,0
scenario10,c2,right,left,base,left,40,20,60,80,80,100,0,1.0,False,4.779,0
scenario11,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,1.55,0
scenario12,c2,base,left,right,base,60,0,0,20,60,20,0,0.4,False,2.042,0
scenario13,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,1.86,0
scenario14,c2,base,left,right,base,100,100,40,80,80,40,40,1.0,False,1.573,0
scenario15,c4,right,base,left,base,0,100,20,60,60,20,20,1.0,False,3.107,0
scenario16,c2,right,base,base,left,80,100,20,60,80,20,20,0.8,False,2.459,0
scenario17,c2,right,left,base,left,80,100,0,60,60,0,20,0.1,False,3.662,0
scenario18,c4,right,base,left,right,80,100,20,60,40,80,20,0.8,True,0.0,1
scenario19,c2,base,left,right,base,80,100,0,80,80,40,20,0.6,False,2.313,0
scenario20,c2,base,left,right,base,100,100,0,80,40,100,40,0.8,False,2.889,0
scenario21,c2,base,left,right,base,40,80,0,60,40,40,20,0.8,False,12.095,0
scenario22,c4,left,right,right,base,100,40,40,80,40,20,20,0.8,False,3.415,0
scenario23,c2,right,left,base,left,100,100,100,80,0,40,0,0.6,False,3.574,0
scenario24,c2,right,base,base,left,0,80,100,80,60,20,20,1.0,False,2.517,0
scenario25,c4,right,base,left,right,80,100,20,60,40,80,20,0.8,False,3772.638,0
scenario26,c4,left,base,right,base,100,80,20,40,0,40,40,0.6,False,1.946,0
scenario27,c1,base,left,left,right,100,100,60,60,40,60,60,1.0,False,2.171,0
scenario28,c4,right,base,left,base,0,80,100,60,80,20,0,0.8,False,23.489,0
scenario29,c4,left,right,right,base,80,100,0,60,60,20,40,0.1,False,4.88,0
scenario30,c2,right,left,base,left,80,40,80,100,20,0,40,0.8,False,2.514,0
scenario31,c2,base,left,right,base,0,100,20,60,40,0,40,1.0,False,1.813,0
scenario32,c2,base,left,right,base,40,40,0,60,40,40,0,0.8,False,2.323,0
scenario33,c2,right,left,base,left,100,40,20,60,40,20,20,1.0,False,2.772,0
scenario34,c1,base,right,left,right,60,100,20,60,60,20,40,0.2,True,0.0,1
scenario35,c4,left,right,right,base,60,60,20,60,20,40,20,0.8,False,4.392,0
scenario36,c2,right,base,base,left,0,80,100,80,60,0,20,1.0,False,2.437,0
