Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,c1,base,left,left,right,0,60,40,0,0,60,80,0.8,False,4.805,0
scenario2,c2,base,left,right,left,0,20,20,40,80,40,100,0.2,False,3.414,0
scenario3,c1,left,right,base,left,60,0,80,60,0,0,40,1.0,False,17.889,0
scenario4,c2,right,left,base,left,0,0,100,20,20,0,40,0.6,False,22.602,0
scenario5,c4,right,base,left,base,40,60,0,40,40,80,60,0.2,False,69.369,0
scenario6,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario7,c4,right,base,left,base,80,100,60,40,80,0,100,0.2,False,2.647,0
scenario8,c4,left,right,right,base,60,100,40,20,40,40,80,0.6,False,4.705,0
scenario9,c1,base,right,left,right,60,80,40,0,20,80,0,1.0,False,3.701,0
scenario10,c2,right,left,base,left,40,20,60,80,80,100,0,1.0,False,3.18,0
scenario11,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,1.967,0
scenario12,c2,base,left,right,base,60,0,0,20,60,20,0,0.4,False,2.032,0
scenario13,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,1.98,0
scenario14,c2,base,left,right,base,100,100,40,80,80,40,40,1.0,False,1.591,0
scenario15,c4,right,base,left,base,0,100,20,60,60,20,20,1.0,False,78.829,0
scenario16,c2,right,base,base,left,80,100,20,60,80,20,20,0.8,False,1.807,0
scenario17,c2,right,left,base,left,80,100,0,60,60,0,20,0.1,False,3.377,0
scenario18,c4,right,base,left,right,80,100,20,60,40,80,20,0.8,False,4642.457,0
scenario19,c2,base,left,right,base,80,100,0,80,80,40,20,0.6,False,1.927,0
scenario20,c2,base,left,right,base,100,100,0,80,40,100,40,0.8,False,5.0,0
scenario21,c2,base,left,right,base,40,80,0,60,40,40,20,0.8,False,1.783,0
scenario22,c4,left,right,right,base,100,40,40,80,40,20,20,0.8,False,3.561,0
scenario23,c2,right,left,base,left,100,100,100,80,0,40,0,0.6,False,8.519,0
scenario24,c2,right,base,base,left,0,80,100,80,60,20,20,1.0,False,2.811,0
scenario25,c2,base,left,right,base,100,100,40,80,80,40,40,1.0,False,1.906,0
scenario26,c4,left,base,right,base,100,80,20,40,0,40,40,0.6,False,5.233,0
scenario27,c1,base,left,left,right,100,100,60,60,40,60,60,1.0,False,2.183,0
scenario28,c4,right,base,left,base,0,80,100,60,80,20,0,0.8,False,41.275,0
scenario29,c4,left,right,right,base,80,100,0,60,60,20,40,0.1,False,3.119,0
scenario30,c2,right,left,base,left,80,40,80,100,20,0,40,0.8,False,3.011,0
scenario31,c2,base,left,right,base,0,100,20,60,40,0,40,1.0,False,9.138,0
scenario32,c2,base,left,right,base,40,40,0,60,40,40,0,0.8,False,2.369,0
scenario33,c2,right,left,base,left,100,40,20,60,40,20,20,1.0,False,3.47,0
scenario34,c1,base,right,left,right,60,100,20,60,60,20,40,0.2,False,17.762,0
scenario35,c4,left,right,right,base,60,60,20,60,20,40,20,0.8,False,4.568,0
scenario36,c2,right,base,base,left,0,80,100,80,60,0,20,1.0,False,2.461,0
scenario37,c2,base,left,right,base,100,100,40,80,80,40,40,1.0,False,1.621,0
scenario38,c2,base,left,right,base,0,80,80,80,60,0,20,1.0,False,2.266,0
scenario39,c4,right,base,left,base,80,80,20,60,60,20,20,0.4,False,29.572,0
scenario40,c2,base,left,right,base,0,100,0,60,40,0,40,1.0,False,1.934,0
scenario41,c4,right,base,left,base,100,40,0,0,40,40,20,1.0,False,63.972,0
scenario42,c2,right,base,base,left,0,100,80,80,60,20,40,1.0,False,5514.491,0
scenario43,c2,right,left,base,left,40,100,100,80,60,0,20,1.0,False,2.329,0
scenario44,c4,right,base,left,base,40,80,100,80,60,20,0,1.0,False,4.355,0
scenario45,c1,left,right,base,right,20,100,80,60,80,0,0,1.0,False,8.331,0
scenario46,c4,right,base,left,right,80,60,40,80,40,0,20,1.0,True,0.0,1
scenario47,c4,left,base,right,base,0,80,100,80,0,20,0,0.8,False,6.823,0
scenario48,c1,left,right,base,right,80,100,0,60,80,20,40,0.4,False,8.741,0
scenario49,c4,right,base,left,right,80,60,40,80,40,0,20,1.0,True,0.0,1
scenario50,c4,right,base,left,base,40,60,100,80,80,20,0,0.8,False,4475.114,0
scenario51,c4,right,base,left,base,100,60,0,0,20,60,0,1.0,False,4508.63,0
scenario52,c2,right,base,base,left,20,100,0,60,20,0,60,0.8,False,2.664,0
scenario53,c1,left,right,base,right,0,80,100,40,80,0,40,0.2,False,7.84,0
scenario54,c4,right,base,left,base,0,100,0,80,60,40,20,0.4,False,32.157,0
scenario55,c2,base,left,right,left,100,40,0,0,40,40,0,0.8,False,2.822,0
scenario56,c1,left,right,base,right,80,40,20,60,80,100,40,0.4,False,9.507,0
scenario57,c2,right,base,base,left,20,100,0,60,60,0,20,1.0,False,2.983,0
scenario58,c4,right,base,left,base,80,100,20,80,100,0,20,0.2,False,9999.0,0
scenario59,c2,base,left,right,base,0,100,60,80,60,20,40,1.0,False,2.312,0
scenario60,c4,left,right,right,base,100,60,0,40,40,20,40,0.4,False,4.396,0
scenario61,c4,right,base,left,right,80,60,40,80,40,0,20,1.0,True,0.0,1
scenario62,c1,base,right,left,right,100,60,0,0,0,60,100,0.8,False,19.387,0
scenario63,c1,base,left,left,right,20,40,100,60,60,0,20,0.2,False,2.405,0
scenario64,c2,base,left,right,left,80,60,20,0,80,40,0,0.2,False,4.514,0
scenario65,c2,right,base,base,left,20,0,20,60,20,0,80,0.6,False,2.051,0
scenario66,c4,right,base,left,base,100,60,0,0,0,80,60,0.8,False,10.859,0
scenario67,c1,left,right,base,right,80,20,0,60,0,80,40,0.2,False,8.536,0
scenario68,c4,right,base,left,right,60,40,0,80,80,20,20,0.6,False,1.065,0
scenario69,c2,right,left,base,left,80,100,0,80,100,0,0,0.2,False,2.483,0
scenario70,c4,right,base,left,right,60,80,40,60,100,0,20,0.2,False,1.342,0
scenario71,c4,right,base,left,right,80,100,20,60,100,0,40,0.2,True,0.0,1
scenario72,c1,left,right,base,right,40,100,0,60,0,20,60,0.2,False,9.137,0
scenario73,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,4652.037,0
scenario74,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,3171.354,0
scenario75,c4,right,base,left,right,0,60,100,80,60,60,60,0.8,False,3825.379,0
scenario76,c2,base,left,right,base,40,0,0,20,60,20,20,0.2,False,2.295,0
scenario77,c4,left,right,right,base,40,20,80,20,80,100,20,1.0,False,4.728,0
scenario78,c4,right,base,left,right,0,20,20,40,80,40,100,0.1,True,0.0,1
scenario79,c2,base,left,right,left,80,0,40,80,40,0,20,1.0,False,4.624,0
scenario80,c2,base,left,right,base,60,0,0,20,60,20,0,0.6,False,2.055,0
scenario81,c2,base,left,right,left,0,0,40,40,80,40,100,0.2,False,3.005,0
scenario82,c4,left,right,right,base,40,100,40,20,40,40,80,0.6,False,4.703,0
scenario83,c1,base,left,left,right,80,40,40,100,40,100,20,1.0,False,4.565,0
scenario84,c2,base,left,right,left,0,20,20,40,60,20,0,0.6,False,3.004,0
scenario85,c2,base,left,right,base,60,0,0,20,60,20,0,0.6,False,2.147,0
scenario86,c2,right,base,base,left,40,0,0,0,80,20,20,0.8,False,2.634,0
scenario87,c1,base,right,left,right,80,20,0,60,80,0,40,0.6,True,0.0,1
scenario88,c2,right,left,base,left,40,0,100,0,20,0,0,0.1,False,4.868,0
scenario89,c2,base,left,right,base,60,0,20,20,40,20,0,0.8,False,1.833,0
scenario90,c2,base,left,right,base,60,0,20,0,40,20,20,0.6,False,2.273,0
scenario91,c2,base,left,right,base,80,0,20,40,80,40,0,0.6,False,2.345,0
scenario92,c4,left,base,right,base,60,0,0,20,60,20,0,0.6,True,0.0,1
scenario93,c4,left,base,right,base,60,20,20,0,60,20,0,0.6,False,4.047,0
scenario94,c2,right,base,base,left,60,0,0,0,80,20,20,0.4,False,2.768,0
scenario95,c1,base,left,left,right,80,20,0,20,80,0,0,0.8,False,2.176,0
scenario96,c1,base,right,left,right,60,20,0,100,80,40,0,0.4,True,0.0,1
scenario97,c1,base,right,left,right,80,20,0,60,80,0,40,0.6,False,4.396,0
scenario98,c4,left,right,right,base,80,0,0,0,60,20,0,0.1,True,0.0,1
scenario99,c1,left,right,base,right,60,0,20,20,20,40,20,0.4,False,8.602,0
scenario100,c1,left,right,base,right,20,20,0,0,100,20,40,0.8,False,9.665,0
scenario101,c2,base,left,right,base,60,0,0,20,60,40,20,0.8,False,2.322,0
scenario102,c4,right,base,left,base,60,0,20,0,20,20,40,0.8,False,96.01,0
scenario103,c4,left,base,right,base,60,100,0,40,80,20,0,0.8,False,5.844,0
scenario104,c4,left,base,right,base,20,0,20,20,60,0,0,0.4,True,0.0,1
scenario105,c2,base,left,right,left,60,0,0,40,60,20,0,0.8,False,2.813,0
scenario106,c1,left,right,base,right,60,0,20,20,40,20,20,0.4,False,34.533,0
scenario107,c1,base,right,left,right,80,20,0,40,60,0,40,0.8,True,0.0,1
scenario108,c1,base,right,left,right,80,20,0,100,80,100,0,0.6,False,12.678,0
scenario109,c4,left,right,right,base,80,0,0,0,60,20,0,0.1,True,0.0,1
scenario110,c2,base,left,right,left,60,0,0,20,0,40,20,1.0,False,6.24,0
scenario111,c1,left,right,base,left,60,0,0,20,80,0,0,0.8,False,5.791,0
scenario112,c1,base,right,left,right,80,20,0,40,40,0,20,1.0,False,8.504,0
scenario113,c4,left,right,right,base,80,0,0,0,40,40,40,0.1,False,4.688,0
scenario114,c1,left,right,base,right,60,0,20,20,40,60,0,0.4,False,8.626,0
scenario115,c1,base,right,left,right,40,0,0,60,80,0,20,0.8,True,0.0,1
scenario116,c1,left,right,base,left,40,0,40,0,60,20,0,0.2,False,4.946,0
scenario117,c2,base,left,right,left,60,0,0,20,0,20,40,0.8,False,6.084,0
scenario118,c1,left,right,base,left,20,20,0,0,40,60,20,0.2,False,8.939,0
