Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario94,c4,base,20,1.0,0,right,60,20,0,base,40,60,left,0,3.7493268825970665,0
scenario95,c4,base,100,0.2,40,right,40,0,100,base,0,60,left,0,2.713224166519367,0
scenario96,c1,right,0,1.0,0,base,80,20,20,right,80,100,left,0,5.673134817492502,0
scenario97,c4,base,80,0.1,20,right,40,60,80,base,80,40,left,0,2.797617607287412,0
scenario98,c4,base,100,0.4,100,right,0,20,40,base,100,20,left,1,0.0,1
scenario99,c4,base,0,1.0,80,left,60,100,0,base,0,40,right,0,13.168701592326013,0
scenario100,c2,base,60,0.8,0,base_left_lane,0,0,0,left,60,100,right,0,4.958329389576752,0
scenario101,c1,right,20,0.2,60,left,100,40,40,right,80,0,base,0,2.9099816402149004,0
scenario102,c2,base,100,0.2,0,base_left_lane,80,40,0,left,60,40,right,0,3.9138083449574217,0
scenario103,c1,left,100,0.2,20,left,80,20,40,right,100,80,base,0,2.747477716466943,0
scenario104,c1,right,60,0.4,0,left,20,60,80,right,80,60,base,0,2.8716804062216315,0
scenario105,c1,right,60,0.6,60,base,40,60,100,right,60,0,left,0,5.102561746280924,0
scenario106,c1,right,20,1.0,100,left,0,60,100,right,20,40,base,0,3.8911924284053607,0
scenario107,c2,left,80,0.4,60,base_left_lane,20,80,40,left,20,20,right,0,2.765834779395965,0
scenario108,c1,right,0,0.2,100,left,100,60,60,right,80,20,base,0,3.3720059422535584,0
scenario109,c1,right,60,0.6,0,left,60,100,60,right,100,20,base,1,0.0,1
scenario110,c4,base,0,0.4,100,right,40,40,20,base,0,100,left,0,3.805285107017564,0
scenario111,c1,right,40,0.2,0,left,80,20,60,right,100,80,base,1,0.0,1
scenario112,c2,base,20,0.1,100,base_left_lane,60,40,100,left,60,0,right,0,4.208136270385151,0
scenario113,c1,right,100,1.0,20,left,60,80,0,right,100,100,base,0,4.0957087717276295,0
scenario114,c4,base,60,0.1,60,left,80,20,60,base,100,100,right,0,3.380089638931327,0
scenario115,c2,left,60,0.2,80,base_left_lane,80,100,40,left,100,60,right,0,3.395333427660445,0
scenario116,c1,right,20,0.1,80,left,100,60,40,right,20,0,base,0,2.872878967691525,0
scenario117,c4,base,80,0.1,40,left,40,40,100,base,0,100,right,0,2.786808624914954,0
scenario118,c1,right,100,0.6,80,left,40,40,80,right,20,80,base,0,3.4803271225455,0
scenario119,c2,left,20,0.6,60,base_left_lane,80,80,20,left,20,60,right,0,5.223172576634598,0
scenario120,c1,left,80,0.4,0,left,40,60,80,right,0,20,base,0,2.8191619723189025,0
scenario121,c4,base,100,0.1,0,left,80,20,80,base,100,40,right,0,4.405964725090819,0
scenario122,c4,base,60,0.4,100,right,80,20,0,base,20,40,left,1,0.0,1
scenario123,c2,base,60,0.4,100,base_left_lane,100,60,0,left,0,100,right,0,3.9311383786350382,0
scenario124,c4,base,0,0.8,80,right,100,20,100,base,20,100,left,1,0.0,1
scenario125,c2,left,40,0.8,40,base_left_lane,100,60,60,left,0,0,right,0,4.163186998625799,0
scenario126,c4,base,0,0.6,80,right,100,0,80,base,20,100,left,1,0.0,1
scenario127,c1,right,40,0.6,0,base,0,0,60,right,0,100,left,0,5.706252600879198,0
scenario128,c2,base,100,0.1,40,base_left_lane,20,0,80,left,80,40,right,0,3.037629303314451,0
scenario129,c4,right,100,0.6,20,right,0,60,20,base,20,40,left,0,4.196924507709263,0
scenario130,c4,base,40,0.4,60,left,40,80,40,right,0,100,right,1,0.0,1
scenario131,c1,right,0,0.4,20,base,80,80,0,right,40,80,left,0,5.8806275603502165,0
scenario132,c4,right,0,1.0,100,right,40,80,0,base,40,100,left,1,0.0,1
scenario133,c4,base,0,0.4,100,right,60,20,40,base,100,0,left,0,2.95516159694534,0
scenario134,c1,right,80,0.4,0,left,0,80,60,right,40,40,base,0,2.6502520482791465,0
scenario135,c1,left,60,0.1,40,left,60,60,40,right,100,40,base,0,2.6491704279627006,0
scenario136,c1,right,20,0.2,40,left,0,80,40,right,0,0,base,0,2.895961746506013,0
scenario137,c1,left,80,0.2,40,left,60,40,100,right,0,40,base,0,2.658761697184133,0
scenario138,c1,right,0,1.0,0,base_left_lane,0,100,20,left,60,20,left,0,0.8467305627792258,0
scenario139,c1,left,80,0.6,20,left,80,60,100,right,40,20,base,0,3.7722606367152953,0
scenario140,c1,right,80,0.6,40,left,0,60,40,right,0,0,base,0,2.797861986157697,0
scenario141,c2,left,20,0.6,40,right,0,60,40,left,40,0,base,0,3.3841444879455915,0
scenario142,c4,base,100,0.2,60,right,60,20,0,base,100,40,left,0,3.958401877307997,0
scenario143,c4,base,0,1.0,40,left,80,20,60,right,80,80,right,0,1.255031836306812,0
scenario144,c2,left,60,0.1,40,base_left_lane,40,60,60,left,60,0,right,0,3.037454086457895,0
scenario145,c4,base,100,1.0,20,right,80,40,100,base,60,80,left,0,2.7740926148027354,0
scenario146,c2,left,60,0.4,60,base_left_lane,60,80,60,left,60,60,right,0,3.268397157853409,0
scenario147,c1,right,0,0.8,80,base,0,80,20,right,80,0,left,0,6.894991998656954,0
scenario148,c2,left,20,1.0,100,base_left_lane,20,100,20,left,60,0,right,0,5.33994304032459,0
scenario149,c1,right,100,0.4,100,left,60,40,20,right,0,80,base,0,2.220369949652341,0
scenario150,c1,left,100,0.4,100,left,80,60,60,right,0,80,base,0,2.729500183364289,0
scenario151,c4,right,20,0.6,100,right,100,20,20,base,60,40,left,0,4.526161223058715,0
scenario152,c1,right,100,0.1,100,left,40,100,20,right,40,40,base,0,3.165932788810444,0
scenario153,c2,base,0,0.6,100,base_left_lane,20,60,80,left,40,100,right,0,3.5935223321857315,0
scenario154,c1,right,60,0.4,0,left,40,100,80,right,100,20,base,0,2.2628785404371285,0
scenario155,c4,base,100,0.2,20,right,20,100,40,base,60,0,left,1,0.0,1
scenario156,c2,left,60,0.1,40,right,20,40,80,left,80,20,base,0,3.9837236388963815,0
scenario157,c2,left,40,0.2,80,base_left_lane,0,80,0,left,40,0,right,0,5.21019051440538,0
scenario158,c4,base,20,0.6,40,left,0,100,0,right,60,20,right,0,1.1938660532452228,0
scenario159,c1,right,80,0.6,100,left,80,0,0,right,60,0,base,0,2.768802999801488,0
scenario160,c2,left,0,0.6,100,right,100,100,20,base,0,20,base,0,2.205489991467219,0
scenario161,c4,base,80,0.2,60,right,60,40,60,base,80,80,left,1,0.0,1
scenario162,c2,left,100,0.4,80,right,20,40,40,base,80,100,base,0,2.17230816684278,0
scenario163,c2,left,100,0.8,20,base_left_lane,20,20,0,left,20,0,right,0,5.811707406318309,0
scenario164,c2,left,60,0.2,40,base_left_lane,100,0,0,left,40,80,right,0,4.387945943594241,0
scenario165,c4,base,0,0.8,20,left,100,20,20,right,60,0,right,0,0.8011190819704993,0
scenario166,c2,left,60,0.6,100,base_left_lane,80,100,0,left,20,0,right,0,5.068906248774531,0
scenario167,c4,right,80,0.1,60,right,0,40,0,base,40,20,left,0,1.7445786741801954,0
scenario168,c2,base,80,0.8,60,base_left_lane,100,100,40,left,80,100,right,0,3.7086456216317214,0
scenario169,c1,right,20,0.2,0,left,100,0,40,right,60,100,base,0,2.529227283286569,0
scenario170,c1,right,80,0.4,40,base,100,0,60,right,40,0,left,0,3.67252760111009,0
scenario171,c1,left,20,0.6,0,left,100,40,60,right,40,0,base,0,2.7548897428646733,0
scenario172,c4,base,0,0.6,60,right,100,100,80,base,20,60,left,0,2.81911967529714,0
scenario173,c1,right,40,0.2,0,left,80,0,40,right,80,100,base,1,0.0,1
scenario174,c2,base,20,0.1,80,base_left_lane,60,40,100,left,20,0,right,0,3.3855904069987712,0
scenario175,c2,left,80,0.6,20,right,40,100,100,base,0,60,base,0,1.9171477340670933,0
scenario176,c2,base,60,0.6,100,base_left_lane,20,100,80,left,80,60,right,0,4.688975586616553,0
scenario177,c1,left,60,0.1,40,left,20,40,20,right,0,20,base,0,2.696780907798213,0
scenario178,c4,base,60,0.1,60,right,60,60,0,base,40,60,left,0,3.4776300738400225,0
scenario179,c2,left,0,0.4,100,base_left_lane,100,80,100,left,40,40,right,0,4.992422890687253,0
scenario180,c1,right,100,0.6,40,left,20,40,40,right,100,40,base,0,2.850267650057097,0
scenario181,c2,base,20,0.8,60,base_left_lane,0,100,60,left,100,40,right,0,2.503569432965925,0
scenario182,c4,base,100,0.8,40,right,100,20,40,base,0,60,left,0,2.93449743273915,0
scenario183,c2,base,60,0.4,0,base_left_lane,100,80,20,left,80,60,right,0,4.492333790484743,0
scenario184,c4,base,100,1.0,20,right,60,80,20,base,60,60,left,0,1.7888534508201666,0
scenario185,c4,base,100,0.6,80,left,40,20,100,right,60,0,right,1,0.0,1
scenario186,c4,base,80,0.1,100,left,20,0,40,base,100,80,right,0,22.065306387106,0
scenario187,c1,right,40,0.4,60,base_left_lane,0,80,40,left,40,100,left,0,1.0635871731430044,0
scenario188,c1,right,100,0.4,40,left,60,20,60,right,80,100,base,0,2.916339793429842,0
scenario189,c1,left,40,0.4,0,left,0,40,20,right,100,80,base,0,3.180064998792738,0
scenario190,c1,right,0,0.6,100,left,80,40,100,right,100,20,base,0,2.076373018028032,0
scenario191,c4,right,80,0.6,20,right,20,60,60,base,60,60,left,0,3.4556193481427857,0
scenario192,c2,left,0,0.4,0,base_left_lane,80,100,0,left,20,20,right,0,5.391953524138533,0
scenario193,c4,base,100,0.2,60,right,20,0,80,base,40,0,left,1,0.0,1
scenario194,c2,base,0,1.0,60,base_left_lane,20,40,80,left,20,20,right,0,4.943419853348443,0
scenario195,c4,base,100,0.6,20,right,40,0,0,base,0,80,left,1,0.0,1
scenario196,c1,right,100,0.8,20,left,100,0,80,right,40,0,base,0,2.9672570537441043,0
scenario197,c4,base,80,1.0,100,left,60,80,80,right,20,0,right,0,1.2623865020516294,0
scenario198,c4,base,40,0.4,80,right,40,60,100,base,0,100,left,0,1.963000829023944,0
scenario199,c4,base,100,1.0,0,right,60,40,80,base,100,80,left,0,2.573659538770527,0
scenario200,c2,left,80,0.8,80,right,0,0,0,base,40,0,base,0,2.300939361672796,0
scenario201,c4,base,20,0.2,40,right,80,80,40,base,20,20,left,0,3.3523076337687034,0
scenario202,c4,base,80,0.6,20,right,100,20,40,base,100,100,left,0,2.744819728523707,0
scenario203,c2,left,20,0.1,80,base_left_lane,100,100,0,left,80,0,right,0,5.052770851476545,0
scenario204,c2,left,60,0.4,60,base_left_lane,100,40,20,left,40,100,right,0,3.6489743155761376,0
scenario205,c2,left,20,0.4,100,base_left_lane,80,40,80,left,80,80,right,0,4.28972279527871,0
scenario206,c2,base,0,0.2,80,base_left_lane,80,0,40,left,40,40,right,0,5.048036137972444,0
scenario207,c4,right,80,0.6,20,right,100,100,80,base,60,100,left,0,3.0207468994219258,0
scenario208,c2,left,20,0.6,0,base_left_lane,40,100,40,left,40,60,right,0,3.4031741518957155,0
scenario209,c1,right,20,1.0,80,base,60,80,100,right,20,60,left,0,5.681764066708663,0
scenario210,c4,base,0,0.6,20,right,80,80,40,base,20,80,left,0,5.90806213254111,0
scenario211,c2,base,40,0.1,100,base_left_lane,60,20,80,left,0,60,right,0,4.207991072230928,0
scenario212,c2,left,100,0.6,100,base_left_lane,40,80,0,left,20,20,right,0,5.363172768402393,0
scenario213,c2,left,60,0.1,20,base_left_lane,80,80,80,left,100,100,right,0,4.399997962529407,0
scenario214,c4,base,80,0.2,100,right,40,0,20,base,100,40,left,0,2.8282662995175905,0
scenario215,c4,right,60,0.1,80,right,0,40,20,base,40,20,left,0,1.959456725546279,0
scenario216,c1,right,100,0.4,80,base,100,60,40,right,100,100,left,0,5.818138539566962,0
scenario217,c1,right,40,0.2,100,left,60,80,80,right,100,100,base,0,3.6389219312035808,0
scenario218,c4,right,100,0.8,20,right,0,60,20,base,80,100,left,0,3.159297085495418,0
scenario219,c2,base,80,0.2,0,base_left_lane,100,0,80,left,60,60,right,0,5.296704127020566,0
scenario220,c2,left,80,0.8,40,base_left_lane,60,20,100,left,20,80,right,0,3.043096762731731,0
scenario221,c1,left,100,0.4,0,left,20,100,100,right,60,100,base,0,3.4327876320704016,0
scenario222,c2,left,60,1.0,20,base_left_lane,40,0,60,left,20,80,right,0,3.83203550813686,0
scenario223,c4,right,0,0.1,80,right,60,40,60,base,40,20,left,0,4.319676053575297,0
scenario224,c1,right,80,0.4,0,left,0,20,80,right,60,100,base,1,0.0,1
scenario225,c1,right,20,0.8,20,left,20,60,20,right,100,60,base,0,3.1308949531725347,0
scenario226,c4,base,0,0.2,60,right,40,80,80,base,60,0,left,0,2.229436836567159,0
scenario227,c4,base,100,0.1,20,right,100,80,20,base,100,0,left,0,3.449139139553486,0
scenario228,c2,left,20,0.2,100,base_left_lane,80,60,80,left,40,0,right,0,5.329370224132738,0
scenario229,c2,left,40,1.0,0,base_left_lane,80,20,100,left,60,0,right,0,2.955745393585746,0
scenario230,c2,base,0,0.1,0,base_left_lane,20,40,80,left,40,0,right,0,4.302814493678696,0
scenario231,c1,left,60,0.2,40,left,20,0,100,right,40,0,base,0,2.869296230945424,0
scenario232,c1,right,20,0.1,80,left,0,80,80,right,0,60,base,0,2.794300084880664,0
scenario233,c4,base,100,0.6,100,right,100,0,0,base,20,100,left,1,0.0,1
scenario234,c1,right,0,0.8,40,left,80,40,80,right,80,0,base,0,2.769271531196753,0
scenario235,c1,right,100,0.4,60,left,80,80,100,right,40,40,base,0,2.6455899925298407,0
scenario236,c2,left,80,0.4,40,base_left_lane,100,40,60,left,20,0,right,0,3.565910157897118,0
scenario237,c1,left,80,0.2,40,left,80,60,60,right,100,80,base,0,3.185035812888066,0
scenario238,c2,left,40,0.2,0,base_left_lane,40,80,40,left,40,20,right,0,3.053273210178347,0
scenario239,c2,base,40,0.8,80,base_left_lane,20,0,100,left,40,60,right,0,2.823801212054568,0
scenario240,c1,left,80,0.2,100,left,20,80,60,right,80,40,base,0,1.944239990350904,0
scenario241,c4,base,100,0.6,20,right,20,40,80,base,80,100,left,0,2.521173996790772,0
scenario242,c1,left,0,1.0,0,left,60,60,60,right,100,100,base,0,2.952272000300676,0
scenario243,c4,base,80,0.6,100,left,100,100,60,base,20,80,right,0,2.138679107093521,0
scenario244,c1,left,20,1.0,0,left,40,40,20,right,80,40,base,0,3.1044349010411256,0
scenario245,c2,left,0,0.4,80,right,100,80,100,left,60,0,base,0,2.901373123119734,0
scenario246,c1,left,20,0.4,0,left,60,20,60,right,0,20,base,0,2.8678275679487863,0
scenario247,c4,base,0,0.8,80,right,100,100,100,base,80,40,left,0,2.664653996562261,0
scenario248,c2,left,40,0.4,100,base_left_lane,20,100,100,left,80,100,right,0,3.606181752208664,0
scenario249,c1,right,60,0.1,80,base,20,0,0,right,40,40,left,0,4.461137743737275,0
scenario250,c4,base,40,0.2,60,left,60,20,0,right,0,80,right,0,1.202101398221859,0
scenario251,c1,right,0,0.4,40,base_left_lane,60,20,100,left,80,60,left,0,0.9691344342464578,0
scenario252,c2,left,80,0.2,40,base_left_lane,80,100,80,left,80,60,right,0,4.102162365575369,0
scenario253,c4,right,20,1.0,40,right,60,40,40,base,80,100,left,0,1.938444595388757,0
scenario254,c2,base,40,0.6,100,base_left_lane,0,0,20,left,80,80,right,0,3.926035047012452,0
scenario255,c4,base,60,0.8,0,right,60,60,20,base,60,0,left,0,4.025419473077493,0
scenario256,c1,left,80,0.2,60,left,80,0,40,right,40,60,base,0,2.376448028346482,0
scenario257,c1,left,20,0.6,20,left,40,60,0,right,20,80,base,0,2.7968411838691725,0
scenario258,c4,base,0,0.2,40,right,80,0,0,base,40,60,left,0,3.371489779036016,0
scenario259,c2,left,60,0.8,60,right,60,80,0,left,60,80,base,0,3.6666069182104906,0
scenario260,c1,left,40,1.0,0,left,100,40,60,right,80,20,base,0,2.6827136680426067,0
scenario261,c4,base,60,0.2,40,right,80,60,20,base,60,0,left,0,3.3054009334251595,0
scenario262,c2,left,60,0.4,80,base_left_lane,100,20,60,left,80,100,right,0,3.4324255264688244,0
scenario263,c2,left,80,0.8,60,base_left_lane,0,60,40,left,80,100,right,0,2.95992453007264,0
scenario264,c1,right,100,0.6,20,base_left_lane,0,0,20,left,100,20,left,0,0.9012250441291652,0
scenario265,c2,left,0,0.4,40,right,40,20,100,left,0,60,base,0,3.5807060922702862,0
scenario266,c4,base,100,0.6,40,right,20,100,20,base,80,20,left,0,3.607367702274426,0
scenario267,c2,left,20,0.2,100,base_left_lane,80,40,20,left,60,100,right,0,4.936648807157449,0
scenario268,c4,base,20,1.0,60,left,40,40,0,base,60,20,right,0,35.716607216777724,0
scenario269,c1,left,0,0.1,80,left,40,20,0,right,60,0,base,0,2.922200310316092,0
scenario270,c4,base,0,1.0,100,right,60,100,100,base,20,60,left,0,4.116246933639399,0
scenario271,c2,left,0,1.0,20,base_left_lane,20,0,80,left,40,60,right,0,4.110478477562064,0
scenario272,c4,base,0,0.6,20,right,20,40,0,base,60,80,left,0,2.968853760476492,0
scenario273,c1,right,20,0.8,80,base,20,60,60,right,40,40,left,0,7.289541312422224,0
scenario274,c4,base,20,0.2,80,left,0,40,0,right,60,100,right,0,0.8442992975849264,0
scenario275,c2,left,100,1.0,20,base_left_lane,40,20,60,left,60,0,right,0,3.8353291339862015,0
scenario276,c4,right,80,0.1,40,right,20,60,40,base,0,0,left,1,0.0,1
scenario277,c1,left,80,0.1,100,left,0,20,20,right,20,0,base,0,3.142838197202597,0
scenario278,c1,right,0,0.8,40,left,60,100,100,right,0,60,base,0,3.071039036091756,0
scenario279,c2,left,100,0.1,0,base_left_lane,20,80,20,left,100,100,right,0,3.349196886182499,0
scenario280,c1,left,80,0.1,80,left,80,60,40,right,20,40,base,0,2.681517608070514,0
scenario281,c2,base,20,1.0,60,base_left_lane,60,0,80,left,80,40,right,0,2.7371091815234223,0
scenario282,c1,right,100,0.8,0,left,0,0,60,right,20,0,base,0,2.5307359800343865,0
scenario283,c2,left,60,0.4,0,right,60,80,100,left,40,80,base,0,3.1072046952836345,0
scenario284,c1,right,80,0.2,40,left,60,60,20,right,100,40,base,0,2.805510865473201,0
scenario285,c2,base,100,0.6,80,base_left_lane,40,20,100,left,0,0,right,0,4.656947237434636,0
scenario286,c1,right,40,0.8,60,left,40,0,60,right,100,80,base,1,0.0,1
scenario287,c4,base,80,0.1,40,right,80,0,20,base,40,40,left,0,2.846245380326002,0
