Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario65,c2,base,40,0.8,100,base_left_lane,100,0,40,left,20,20,right,0,4.181198116046979,0
scenario66,c4,base,80,0.4,20,left,20,40,0,base,0,100,right,0,16.40617556783805,0
scenario67,c4,right,100,0.8,40,right,0,0,80,base,100,60,left,1,0.0,1
scenario68,c2,left,100,0.8,0,right,20,100,20,left,20,80,base,0,3.715071367871608,0
scenario69,c1,right,100,0.6,80,left,80,100,20,right,60,80,base,0,2.801884239298856,0
scenario70,c4,base,0,1.0,40,right,0,0,60,base,60,60,left,0,2.7149078397898667,0
scenario71,c1,left,60,0.1,40,left,60,60,100,right,60,40,base,0,2.9036317547622743,0
scenario72,c4,base,60,0.4,80,left,20,0,60,right,20,40,right,0,1.196682988895896,0
scenario73,c4,base,60,0.1,0,left,0,100,100,base,80,20,right,0,2.340617130190476,0
scenario74,c1,right,0,0.2,40,base_left_lane,60,100,60,left,40,100,left,0,0.737726788250923,0
scenario75,c4,base,0,0.2,100,left,60,60,40,right,60,80,right,0,1.054794159727013,0
scenario76,c1,right,80,0.2,20,left,100,100,80,right,60,100,base,1,0.0,1
scenario77,c2,left,0,1.0,0,right,100,20,60,base,100,40,base,0,1.8715905118465097,0
scenario78,c4,base,20,0.6,40,right,60,0,80,base,0,60,left,0,1.73346293511372,0
scenario79,c4,right,40,0.1,40,right,60,60,60,base,60,60,left,0,4.741224677337948,0
scenario80,c2,left,100,0.2,80,base_left_lane,60,20,20,left,60,20,right,0,4.979162011361688,0
scenario81,c1,right,40,0.6,60,base_left_lane,100,80,20,left,40,100,left,0,0.7489548120264006,0
scenario82,c4,base,0,0.8,0,right,60,100,60,base,40,60,left,0,2.5975857937411853,0
scenario83,c2,left,100,0.8,100,right,40,60,40,left,40,40,base,0,5.948083602606285,0
scenario84,c2,base,60,1.0,20,base_left_lane,20,20,40,left,40,40,right,0,5.053422765367678,0
scenario85,c1,right,40,0.8,60,left,80,80,0,right,80,0,base,0,3.615404564807479,0
scenario86,c2,left,80,0.1,100,base_left_lane,40,0,80,left,100,100,right,0,4.141507520663443,0
scenario87,c4,base,40,0.1,100,left,80,60,20,base,60,80,right,0,10.1690117091533,0
