Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario73,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,2884.086,0
scenario74,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,5864.238,0
scenario75,c2,right,left,base,left,0,0,100,20,20,60,20,0.4,False,13.831,0
scenario76,c2,base,left,right,base,40,0,0,20,60,20,20,0.2,False,2.031,0
scenario77,c4,left,right,right,base,40,20,80,20,80,100,20,1.0,False,5.198,0
scenario78,c4,left,right,right,base,0,20,20,40,80,40,100,0.1,False,4.622,0
scenario79,c2,base,left,right,left,100,0,40,80,40,20,20,0.8,False,5.076,0
scenario80,c2,base,left,right,base,60,0,0,20,60,20,0,0.6,False,2.111,0
scenario81,c2,base,left,right,left,0,0,40,40,80,40,100,0.2,False,5.832,0
scenario82,c4,left,right,right,base,40,100,40,20,40,40,80,0.6,False,2.837,0
scenario83,c1,left,right,base,left,100,20,40,100,40,100,20,0.8,False,12.34,0
scenario84,c2,base,left,right,left,0,20,20,40,60,20,0,0.6,False,3.072,0
scenario85,c2,base,left,right,base,40,0,0,20,60,20,20,0.2,False,2.035,0
scenario86,c2,right,base,base,left,20,0,0,0,80,20,40,0.4,False,2.593,0
scenario87,c1,base,right,left,right,60,20,0,60,80,0,40,0.2,False,2.942,0
scenario88,c2,right,left,base,left,20,0,100,0,20,0,20,0.1,False,830.311,0
scenario89,c2,base,left,right,base,40,0,20,20,40,20,20,0.4,False,542.577,0
scenario90,c2,base,left,right,base,40,0,20,0,40,20,40,0.2,False,4.065,0
scenario91,c2,base,left,right,base,80,0,20,40,80,40,20,0.2,False,2.03,0
scenario92,c4,left,base,right,base,40,0,0,20,60,20,20,0.2,True,0.0,1
scenario93,c4,left,base,right,base,40,20,20,0,60,20,20,0.2,False,2.802,0
scenario94,c2,right,base,base,left,60,0,0,0,80,20,40,0.1,False,3.075,0
