Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.05918,left,right,base,left,0,6.525150873928708,0
scenario2,20,100,0,0,80,0.4,80,20,0,0,0,c2,0.00204,base,left,right,base,0,2.2440544916708665,0
scenario3,20,100,0,0,100,0.2,0,100,0,0,0,c4,0.00144,right,base,left,right,0,0.8417633522947539,0
scenario4,60,20,0,0,0,0.8,80,20,0,0,20,c1,0.00135,left,right,base,right,0,4.155807680856516,0
scenario5,20,40,0,100,40,0.6,0,100,0,0,20,c2,0.00126,right,base,base,left,0,3.249754874644461,0
scenario6,60,20,0,0,80,0.4,0,100,0,0,20,c4,0.00137,left,base,right,base,1,0.0,1
scenario7,80,100,0,0,0,0.8,0,100,0,0,40,c1,0.00128,base,right,left,right,0,2.767497743120737,0
scenario8,40,100,0,0,0,0.8,80,20,0,0,40,c2,0.00219,base,left,right,left,0,3.665482547862746,0
scenario9,20,100,0,40,40,0.8,0,100,0,0,40,c4,0.00266,left,right,right,base,0,3.0145196408601778,0
scenario10,80,20,0,0,0,0.8,0,100,0,0,60,c1,0.00158,base,left,left,right,0,1.0700636272752335,0
scenario11,20,20,0,40,40,0.8,0,100,0,0,60,c2,0.00265,right,left,base,left,0,4.28028904817581,0
scenario12,20,100,20,0,0,0.8,0,100,0,0,60,c4,0.00126,right,base,left,base,0,48.84361109761637,0
scenario13,60,60,0,20,40,0.8,0,100,0,0,80,c1,0.00269,left,right,base,left,0,6.267149639794109,0
scenario14,20,40,0,0,80,0.4,80,20,0,0,80,c2,0.00154,base,left,right,base,0,2.0430761510228987,0
scenario15,20,40,0,0,100,0.2,0,100,0,0,80,c4,0.00172,right,base,left,right,0,0.7913304579583716,0
scenario16,20,80,0,20,40,0.8,80,20,0,0,100,c1,0.00127,left,right,base,right,0,5.044183485257593,0
scenario17,60,80,0,0,80,0.4,0,100,0,0,100,c2,0.0013,right,base,base,left,0,3.3213173637517683,0
scenario18,20,60,0,0,0,0.8,80,20,0,0,100,c4,0.00424,left,base,right,base,0,2.4914281560499187,0
scenario19,20,60,0,60,40,0.6,0,100,0,20,0,c1,0.00219,base,right,left,right,0,2.633533559975697,0
scenario20,60,60,0,0,0,0.8,0,100,0,20,0,c2,0.01783,base,left,right,left,0,5.645788535255577,0
