Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario54,40,100,0,20,60,0.6,0,100,0,40,100,c4,1e-05,right,base,left,base,0,197.41105368580065,0
scenario55,20,100,0,40,0,0.8,20,80,0,60,0,c1,1e-05,base,right,left,right,0,3.668292666825424,0
scenario56,60,40,20,0,0,0.8,20,0,0,60,0,c2,1e-05,right,base,base,left,0,2.361358271042408,0
scenario57,40,20,20,0,100,0.1,0,100,0,60,0,c4,1e-05,left,base,right,base,0,2.681791668441022,0
scenario58,20,80,20,80,80,0.0,100,0,0,60,20,c1,1e-05,left,right,base,right,0,4.275898301821572,0
scenario59,20,20,40,100,60,0.6,0,100,0,60,20,c2,1e-05,base,left,right,base,0,1.968105070598961,0
scenario60,0,20,0,20,60,0.2,0,100,0,60,20,c4,1e-05,left,right,right,base,0,3.038760484708355,0
scenario61,60,100,20,0,20,0.8,40,60,0,60,40,c1,1e-05,base,left,left,right,0,2.819571576901933,0
scenario62,40,60,40,80,40,0.6,20,0,0,60,40,c2,1e-05,base,left,right,left,0,3.352119119925493,0
scenario63,20,20,100,0,80,0.4,100,0,0,60,40,c4,1e-05,right,base,left,right,1,0.0,1
scenario64,60,20,0,0,80,0.6,60,100,0,60,60,c1,1e-05,left,right,base,left,0,6.450901895137787,0
scenario65,60,100,40,0,100,0.6,0,100,0,60,60,c2,1e-05,right,left,base,left,0,3.2538967914261794,0
scenario66,80,40,100,0,80,0.4,60,40,0,60,60,c4,1e-05,right,base,left,base,0,2.8783188357080385,0
scenario67,40,80,40,0,80,0.4,100,100,0,60,80,c1,1e-05,base,right,left,right,0,3.472153230269605,0
scenario68,20,60,0,20,100,0.1,80,20,0,60,80,c2,1e-05,right,base,base,left,1,0.0,1
scenario69,60,100,60,0,100,0.2,100,0,0,60,80,c4,1e-05,left,base,right,base,0,1.5391490116010402,0
scenario70,60,20,20,40,40,0.8,60,40,0,60,100,c1,1e-05,left,right,base,right,0,4.268464850973307,0
scenario71,40,40,20,100,0,0.6,100,0,0,60,100,c2,1e-05,base,left,right,base,0,1.60229455259613,0
scenario72,60,60,20,100,40,0.1,0,100,0,60,100,c4,1e-05,left,right,right,base,0,4.7236583801878815,0
scenario73,0,100,0,40,40,0.6,80,20,0,80,0,c1,1e-05,base,left,left,right,0,2.667487669126473,0
scenario74,20,20,0,60,100,0.6,0,100,0,80,0,c2,1e-05,base,left,right,left,0,3.444846453671014,0
scenario75,20,20,40,100,100,0.1,40,60,0,80,0,c4,1e-05,right,base,left,right,0,1.2380092290663691,0
scenario76,80,20,0,0,0,0.6,0,100,0,80,20,c1,1e-05,left,right,base,left,0,6.053716304061842,0
scenario77,80,20,60,100,60,0.2,0,100,0,80,20,c2,1e-05,right,left,base,left,0,3.5692672537307564,0
scenario78,80,60,0,40,0,0.8,0,100,0,80,20,c4,1e-05,right,base,left,base,0,28.139924438104057,0
scenario79,60,20,60,0,60,0.4,100,0,0,80,40,c1,1e-05,base,right,left,right,0,1.2797913166910917,0
scenario80,20,100,60,40,40,0.8,0,100,0,80,40,c2,1e-05,right,base,base,left,0,3.3807021423780523,0
scenario81,20,100,0,100,40,0.2,80,20,0,80,40,c4,1e-05,left,base,right,base,0,3.487881392446154,0
scenario82,20,40,20,60,60,0.6,20,80,0,80,60,c1,1e-05,left,right,base,right,0,5.235274880645928,0
scenario83,20,40,40,0,80,0.4,60,40,0,80,60,c2,1e-05,base,left,right,base,0,2.2118565620732595,0
scenario84,60,100,0,0,40,0.8,80,20,0,80,60,c4,1e-05,left,right,right,base,1,0.0,1
