Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,c2,right,base,base,left,0.4,100,20,20,60,40,0,100,0,2.915269444090241,0
scenario2,c1,base,right,left,right,0.2,40,100,100,80,60,60,60,1,0.0,1
scenario3,c2,base,left,right,base,0.4,20,0,40,0,80,20,40,0,2.243391407535232,0
scenario4,c4,right,base,left,base,1.0,0,40,60,60,20,100,0,0,17.926863440021396,0
scenario5,c1,left,right,base,right,0.1,80,60,80,40,0,80,20,0,4.510985293794836,0
scenario6,c2,base,left,right,left,0.6,60,80,60,20,100,40,80,0,3.038863078157368,0
scenario7,c1,left,right,base,right,0.4,60,40,0,20,60,80,0,0,6.155659339126218,0
scenario8,c4,left,base,right,base,0.8,40,100,80,20,80,0,20,0,2.591138820310338,0
scenario9,c2,base,left,right,left,0.2,0,80,0,100,0,20,100,0,6.690016755821436,0
scenario10,c1,base,left,left,right,0.8,80,20,100,0,40,100,80,0,2.620667017140189,0
scenario11,c1,base,right,left,right,1.0,100,0,20,100,100,60,20,0,2.470443930283392,0
scenario12,c2,base,left,right,left,1.0,80,80,40,40,60,0,40,0,3.083632368595188,0
scenario13,c4,right,base,left,base,0.6,20,60,0,40,20,60,80,0,21.23238891671797,0
scenario14,c4,left,right,right,base,0.1,100,100,100,100,20,40,40,0,3.298133891459086,0
scenario15,c2,right,left,base,left,1.0,60,60,80,60,80,20,60,0,2.713800313116338,0
scenario16,c2,base,left,right,left,0.1,0,0,40,20,40,80,60,0,7.1436079111893145,0
scenario17,c2,right,base,base,left,0.2,40,60,40,100,100,100,0,0,2.168894992337575,0
scenario18,c1,base,right,left,right,0.8,0,40,20,40,80,40,100,0,2.512413132416621,0
scenario19,c1,left,right,base,right,0.6,20,20,60,80,40,20,20,0,5.416294717417884,0
scenario20,c2,right,base,base,left,0.4,0,80,80,0,60,60,20,0,2.9449504266186617,0
scenario21,c1,left,right,base,left,0.8,20,80,100,60,20,80,20,0,7.678855807026435,0
scenario22,c1,base,right,left,right,0.6,100,40,40,80,0,0,80,0,2.707390499960819,0
scenario23,c4,right,base,left,base,0.8,60,0,80,80,100,100,40,0,3.6275116133470497,0
scenario24,c2,base,left,right,base,0.1,40,100,20,60,60,20,80,0,1.576948232413417,0
scenario25,c2,base,left,right,base,0.2,80,40,100,20,40,60,40,0,2.00429692902602,0
scenario26,c2,right,base,base,left,1.0,80,100,0,0,40,40,0,0,1.8057700118708728,0
scenario27,c4,left,base,right,base,0.1,40,20,0,0,0,100,60,1,0.0,1
scenario28,c4,right,base,left,base,1.0,40,20,80,80,20,80,100,0,9.28303283390112,0
scenario29,c1,base,left,left,right,0.4,80,80,20,80,20,40,60,0,2.837520476129513,0
scenario30,c1,left,right,base,left,0.1,20,40,60,100,100,0,60,0,6.540569688452507,0
scenario31,c1,left,right,base,right,0.2,60,0,60,0,0,60,100,0,5.40660347262559,0
scenario32,c4,right,base,left,right,0.6,40,0,100,60,0,40,0,0,1.1599239831001733,0
scenario33,c2,base,left,right,left,0.4,100,20,100,40,100,20,0,0,3.076369795913411,0
scenario34,c1,left,right,base,right,0.6,0,20,20,100,80,80,40,0,6.79274905667588,0
scenario35,c4,left,right,right,base,0.2,100,60,80,0,80,80,80,0,2.722263000489848,0
scenario36,c4,right,base,left,base,0.2,60,20,40,20,20,40,20,0,3.6530976556975663,0
scenario37,c1,left,right,base,left,0.4,20,60,20,20,40,100,100,0,6.172764638786511,0
scenario38,c2,base,left,right,left,0.1,60,0,20,0,20,0,0,0,2.9242106646072346,0
scenario39,c2,base,left,right,left,0.8,20,60,80,80,60,40,0,0,3.628432935727804,0
scenario40,c4,right,base,left,base,0.8,100,80,60,40,80,100,60,0,24.6010622644798,0
scenario41,c4,right,base,left,right,0.6,80,0,60,100,60,20,100,0,1.1773756350792903,0
scenario42,c1,base,right,left,right,0.1,80,100,40,60,80,60,0,0,2.7309420537942986,0
scenario43,c1,left,right,base,right,0.8,40,40,80,100,40,20,80,0,5.673514541824557,0
scenario44,c4,right,base,left,base,0.2,20,100,0,40,0,0,40,0,22.293845755132644,0
scenario45,c2,base,left,right,left,0.8,0,100,0,60,100,100,20,0,4.4265716015672485,0
scenario46,c4,right,base,left,base,1.0,0,60,100,0,100,0,100,0,23.038502728421207,0
scenario47,c1,left,right,base,right,0.4,40,100,60,100,100,80,80,0,5.308232238117449,0
scenario48,c1,base,right,left,right,1.0,100,40,20,20,20,20,20,0,2.5843940911850014,0
scenario49,c1,left,right,base,right,0.2,100,60,60,60,60,100,40,0,6.179771245934409,0
scenario50,c2,base,left,right,left,1.0,0,0,0,80,80,60,80,0,6.374990553735266,0
scenario51,c4,left,base,right,base,0.8,60,100,40,100,40,60,100,0,2.959976534428657,0
scenario52,c4,right,base,left,base,0.8,40,80,20,20,0,60,0,0,3.3773780963098474,0
scenario53,c1,left,right,base,right,0.6,100,20,0,40,60,60,60,0,4.323335818345098,0
scenario54,c2,base,left,right,base,0.6,40,80,80,0,40,100,40,0,2.2592250573133774,0
scenario55,c4,right,base,left,base,0.1,60,80,100,40,40,0,100,0,23.315883934098384,0
scenario56,c1,left,right,base,right,1.0,20,40,20,0,0,80,0,0,5.858367652145405,0
scenario57,c2,base,left,right,base,0.4,40,0,100,40,80,0,60,0,2.2685341557869365,0
scenario58,c2,right,base,base,left,0.2,80,40,20,80,100,0,60,0,2.899497565082728,0
scenario59,c4,right,base,left,right,0.1,0,0,40,80,40,40,80,0,1.2506033232110612,0
scenario60,c4,right,base,left,right,0.4,100,60,40,80,0,80,80,1,0.0,1
scenario61,c1,left,right,base,right,0.6,20,100,40,20,20,60,60,0,6.084413745979775,0
