Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c2,left,20,0.4,0,right,0,40,0,left,80,20,base,0,3.2342963701795844,0
scenario2,c4,right,40,1.0,20,right,80,100,60,base,0,20,left,0,4.790630587554238,0
scenario3,c2,left,0,0.6,0,base_left_lane,0,100,100,left,0,40,right,0,3.2022333840261386,0
scenario4,c1,right,80,0.1,80,left,0,60,100,right,100,20,base,0,3.2137422434658616,0
scenario5,c2,left,0,0.1,20,right,20,20,60,base,20,40,base,0,1.594070146580435,0
scenario6,c2,base,40,1.0,60,base_left_lane,80,0,0,left,40,80,right,0,3.496640760408562,0
scenario7,c4,base,20,1.0,40,left,40,0,100,right,80,80,right,1,0.0,1
scenario8,c4,base,80,0.6,0,right,100,100,60,base,40,100,left,0,2.550867557869975,0
scenario9,c2,left,60,1.0,60,right,0,80,20,base,60,100,base,0,1.9328189834543137,0
scenario10,c2,base,100,0.8,0,base_left_lane,20,100,80,left,20,80,right,0,2.7534120926473964,0
scenario11,c1,right,100,0.2,60,left,40,0,40,right,0,100,base,0,4.415991375798242,0
scenario12,c4,base,20,0.4,40,right,80,60,80,base,0,100,left,1,0.0,1
scenario13,c1,left,20,1.0,60,left,20,0,80,right,0,0,base,0,3.2570167033175013,0
scenario14,c1,right,100,0.8,20,base,60,80,80,right,20,40,left,0,4.941116457852104,0
scenario15,c1,right,100,0.6,40,base_left_lane,40,60,60,left,60,60,left,0,0.8117405804525172,0
scenario16,c4,right,20,0.8,20,right,0,20,80,base,80,60,left,0,4.714201521555672,0
scenario17,c4,base,0,0.4,80,left,100,80,20,base,100,100,right,0,20.80851115119454,0
scenario18,c2,left,100,0.1,100,right,100,60,40,base,60,0,base,0,1.909095015526856,0
scenario19,c4,base,0,0.8,40,left,40,0,80,base,20,100,right,0,3.017164569851608,0
scenario20,c2,base,60,0.2,60,base_left_lane,60,80,0,left,40,40,right,0,4.303460031471351,0
scenario21,c4,base,40,0.2,100,left,0,80,60,right,60,0,right,0,1.0967862123810448,0
scenario22,c1,left,80,0.2,80,left,60,60,100,right,40,60,base,0,2.0889007541560995,0
scenario23,c4,right,60,0.4,100,right,40,40,40,base,40,60,left,0,3.627896096197077,0
scenario24,c1,right,20,0.8,60,left,40,100,100,right,80,80,base,1,0.0,1
