Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario54,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.0566,left,base,right,base,0,3.7270407241254304,0
scenario55,20,80,0,0,0,0.8,0,100,0,60,0,c1,0.05148,base,right,left,right,0,3.112127844194628,0
scenario56,20,80,0,100,40,0.6,0,100,0,60,0,c2,0.00125,base,left,right,left,0,3.112090397062277,0
scenario57,40,40,0,0,0,0.8,0,100,0,60,0,c4,0.02135,left,right,right,base,1,0.0,1
scenario58,20,20,0,20,40,0.8,0,100,0,60,20,c1,0.00885,base,left,left,right,0,2.624290343913761,0
scenario59,20,80,0,20,40,0.8,0,100,0,60,20,c2,0.00748,right,left,base,left,0,4.165449091027313,0
scenario60,20,60,0,40,40,0.8,0,100,0,60,20,c4,0.00256,right,base,left,base,0,17.3863919268702,0
scenario61,20,20,0,0,100,0.2,0,100,0,60,40,c1,0.0017,left,right,base,left,0,5.84697378275903,0
scenario62,20,100,0,0,0,0.8,0,100,0,60,40,c2,0.04891,base,left,right,base,0,2.252342870238436,0
scenario63,60,20,0,60,40,0.6,0,100,0,60,40,c4,0.00123,right,base,left,right,0,0.8336633385253174,0
scenario64,20,60,0,0,0,0.8,0,100,0,60,60,c1,0.04996,left,right,base,right,0,5.559600057909445,0
scenario65,60,40,0,0,0,0.8,0,100,0,60,60,c2,0.02163,right,base,base,left,0,3.1552513511704348,0
scenario66,60,20,0,0,0,0.8,0,100,0,60,60,c4,0.02033,left,base,right,base,0,4.597536457247277,0
scenario67,60,80,0,0,0,0.8,0,100,0,60,80,c1,0.01823,base,right,left,right,0,3.3980316024886967,0
scenario68,40,100,0,0,0,0.8,0,100,0,60,80,c2,0.01778,base,left,right,left,0,5.723241975160006,0
scenario69,40,60,0,0,0,0.8,0,100,0,60,80,c4,0.01721,left,right,right,base,0,4.356439509211108,0
scenario70,20,40,0,20,40,0.8,0,100,0,60,100,c1,0.00954,base,left,left,right,0,2.9925680446318355,0
scenario71,20,100,0,20,40,0.8,0,100,0,60,100,c2,0.00786,right,left,base,left,0,3.6349307028371416,0
scenario72,20,100,0,0,0,0.8,80,20,0,60,100,c4,0.00659,right,base,left,base,0,3.337742054993848,0
scenario73,20,40,0,0,0,0.8,80,20,0,80,0,c1,0.00507,left,right,base,left,0,6.16516505306991,0
scenario74,20,40,0,0,80,0.4,0,100,0,80,0,c2,0.00437,base,left,right,base,0,1.7537709963382184,0
scenario75,20,100,0,0,80,0.4,0,100,0,80,0,c4,0.00361,right,base,left,right,0,0.8772408495104053,0
scenario76,60,40,0,20,40,0.8,0,100,0,80,20,c1,0.00363,left,right,base,right,0,5.914018355441468,0
scenario77,40,20,0,20,40,0.8,0,100,0,80,20,c2,0.00322,right,base,base,left,0,3.090164629277726,0
scenario78,60,80,0,20,40,0.8,0,100,0,80,20,c4,0.00288,left,base,right,base,0,3.3236727622586493,0
scenario79,20,40,0,60,40,0.6,0,100,0,80,40,c1,0.00284,base,right,left,right,0,3.343786722832443,0
scenario80,20,80,0,60,40,0.6,0,100,0,80,40,c2,0.00258,base,left,right,left,0,3.688159254063605,0
scenario81,40,60,0,20,40,0.8,0,100,0,80,40,c4,0.00298,left,right,right,base,1,0.0,1
scenario82,60,100,0,0,0,0.8,80,20,0,80,60,c1,0.00244,base,left,left,right,0,2.3942905993096453,0
