Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c2,left,20,0.4,0,right,0,40,0,left,80,20,base,0,3.5909614457054064,0
scenario2,c4,right,40,1.0,20,right,80,100,60,base,0,20,left,0,3.932411506294613,0
scenario3,c2,left,0,0.6,0,base_left_lane,0,100,100,left,0,40,right,0,2.7852502992388453,0
scenario4,c1,right,80,0.1,80,left,0,60,100,right,100,20,base,0,1.073556335345053,0
scenario5,c2,left,0,0.1,20,right,20,20,60,base,20,40,base,0,2.3149433142453155,0
scenario6,c2,base,40,1.0,60,base_left_lane,80,0,0,left,40,80,right,0,4.034868295557231,0
scenario7,c4,base,20,1.0,40,left,40,0,100,right,80,80,right,0,1.301034291476844,0
scenario8,c4,base,80,0.6,0,right,100,100,60,base,40,100,left,0,2.9410152942164984,0
scenario9,c2,left,60,1.0,60,right,0,80,20,base,60,100,base,0,1.6267337317327208,0
scenario10,c2,base,100,0.8,0,base_left_lane,20,100,80,left,20,80,right,0,2.6534648340685387,0
scenario11,c1,right,100,0.2,60,left,40,0,40,right,0,100,base,0,2.906926995489673,0
scenario12,c4,base,20,0.4,40,right,80,60,80,base,0,100,left,1,0.0,1
scenario13,c1,left,20,1.0,60,left,20,0,80,right,0,0,base,0,2.6525056782991245,0
scenario14,c1,right,100,0.8,20,base,60,80,80,right,20,40,left,0,5.612731774240858,0
scenario15,c1,right,100,0.6,40,base_left_lane,40,60,60,left,60,60,left,0,0.735425821955466,0
scenario16,c4,right,20,0.8,20,right,0,20,80,base,80,60,left,0,4.3249080945598175,0
scenario17,c4,base,0,0.4,80,left,100,80,20,base,100,100,right,0,6.831787510269556,0
scenario18,c2,left,100,0.1,100,right,100,60,40,base,60,0,base,0,1.752672141355491,0
scenario19,c4,base,0,0.8,40,left,40,0,80,base,20,100,right,0,2.514020985443326,0
scenario20,c2,base,60,0.2,60,base_left_lane,60,80,0,left,40,40,right,0,3.848947608059137,0
scenario21,c4,base,40,0.2,100,left,0,80,60,right,60,0,right,0,1.0972314681677782,0
scenario22,c1,left,80,0.2,80,left,60,60,100,right,40,60,base,0,2.383017309469779,0
scenario23,c4,right,60,0.4,100,right,40,40,40,base,40,60,left,1,0.0,1
scenario24,c1,right,20,0.8,60,left,40,100,100,right,80,80,base,1,0.0,1
scenario25,c4,base,0,0.8,0,left,40,60,20,right,60,100,right,0,1.2853392487966169,0
scenario26,c1,right,60,0.1,100,base,20,40,20,right,40,80,left,0,5.939413826364175,0
scenario27,c2,left,60,0.1,0,right,60,20,20,left,100,40,base,0,4.015853141543354,0
scenario28,c4,base,80,0.6,40,left,60,80,0,base,20,80,right,0,17.364575439104783,0
scenario29,c1,right,60,0.2,0,base_left_lane,80,0,80,left,80,60,left,0,1.2075808905295724,0
scenario30,c4,base,20,0.6,100,left,100,40,0,right,80,40,right,0,1.1721302913853668,0
scenario31,c1,right,40,0.2,20,base,60,40,40,right,0,20,left,0,7.628715192311856,0
scenario32,c1,left,100,0.1,100,left,80,60,60,right,20,0,base,0,2.8495864347293383,0
scenario33,c1,right,20,0.6,40,left,0,60,20,right,20,20,base,0,3.0426946294871704,0
scenario34,c2,left,80,0.6,60,right,20,80,100,base,60,100,base,1,0.0,1
scenario35,c4,base,40,0.1,40,left,0,100,100,base,60,0,right,0,2.225855667523159,0
scenario36,c4,base,60,0.6,0,right,40,80,20,base,0,100,left,0,4.180282451187481,0
scenario37,c2,left,40,0.1,80,base_left_lane,80,40,0,left,100,20,right,0,5.149412216864561,0
scenario38,c4,base,60,0.8,0,left,40,40,100,right,40,40,right,0,1.3207127399122065,0
scenario39,c1,right,80,0.6,100,base_left_lane,100,80,0,left,20,80,left,0,0.9131343005699384,0
scenario40,c2,left,60,0.6,80,right,40,20,60,left,100,60,base,0,3.396858464492562,0
scenario41,c1,right,0,0.2,20,base_left_lane,20,0,60,left,0,20,left,0,0.7042841507641047,0
scenario42,c2,base,20,0.8,0,base_left_lane,0,100,60,left,100,100,right,0,3.5391134364948145,0
scenario43,c1,right,0,0.1,60,left,0,20,20,right,80,0,base,0,2.3793184460598846,0
scenario44,c2,left,60,0.2,60,right,60,20,20,base,100,100,base,0,1.7722056939410853,0
scenario45,c2,left,80,0.2,80,right,60,0,80,left,20,60,base,0,2.916057105548917,0
scenario46,c2,left,60,0.1,100,right,20,60,100,base,80,0,base,0,2.0129412682251284,0
scenario47,c2,left,0,0.8,20,right,60,20,60,base,60,40,base,1,0.0,1
scenario48,c1,right,100,0.4,60,base,40,20,100,right,20,100,left,0,5.845671558950363,0
scenario49,c4,base,20,0.2,40,right,40,20,20,base,40,100,left,1,0.0,1
scenario50,c2,left,0,0.8,40,base_left_lane,60,20,40,left,20,80,right,0,3.559543733832491,0
scenario51,c4,base,40,0.2,0,left,60,80,40,right,40,20,right,1,0.0,1
scenario52,c4,base,20,0.2,0,left,0,60,0,base,0,0,right,0,90.32228417771536,0
scenario53,c1,right,80,1.0,100,left,100,40,40,right,100,80,base,0,2.840366418022819,0
scenario54,c1,right,80,0.1,100,left,20,60,80,right,20,80,base,0,8.339562863523266,0
scenario55,c4,base,20,0.1,0,right,40,80,0,base,60,100,left,0,3.350273024610552,0
scenario56,c4,right,60,0.1,60,right,80,20,20,base,80,100,left,0,3.1230651282884567,0
scenario57,c1,left,20,1.0,100,left,0,60,80,right,100,20,base,0,3.152928245369947,0
scenario58,c4,right,40,1.0,0,right,80,80,80,base,100,20,left,0,4.397485920412059,0
scenario59,c2,base,20,0.4,100,base_left_lane,20,100,100,left,40,60,right,0,5.156888096037242,0
scenario60,c1,left,40,1.0,40,left,100,20,20,right,80,40,base,0,2.5932401263451994,0
scenario61,c1,right,100,0.8,80,base_left_lane,40,100,80,left,80,0,left,0,0.8723863045339012,0
scenario62,c2,base,60,0.1,80,base_left_lane,0,60,0,left,80,40,right,0,4.43129610491363,0
scenario63,c1,right,80,0.8,60,base,60,40,40,right,40,0,left,0,5.544078686133723,0
scenario64,c1,right,0,0.4,80,base_left_lane,40,0,60,left,0,60,left,0,0.8034820681818683,0
scenario65,c2,base,40,0.8,100,base_left_lane,100,0,40,left,20,20,right,0,4.030651076780219,0
scenario66,c4,base,80,0.4,20,left,20,40,0,base,0,100,right,0,3.8708691071729984,0
scenario67,c4,right,100,0.8,40,right,0,0,80,base,100,60,left,0,4.761853033193456,0
scenario68,c2,left,100,0.8,0,right,20,100,20,left,20,80,base,0,3.88174780441292,0
scenario69,c1,right,100,0.6,80,left,80,100,20,right,60,80,base,0,3.3864502846933515,0
scenario70,c4,base,0,1.0,40,right,0,0,60,base,60,60,left,1,0.0,1
scenario71,c1,left,60,0.1,40,left,60,60,100,right,60,40,base,0,2.40457069566417,0
scenario72,c4,base,60,0.4,80,left,20,0,60,right,20,40,right,0,1.2663654521131202,0
scenario73,c4,base,60,0.1,0,left,0,100,100,base,80,20,right,0,3.3883325083393574,0
scenario74,c1,right,0,0.2,40,base_left_lane,60,100,60,left,40,100,left,0,0.7425070301779791,0
scenario75,c4,base,0,0.2,100,left,60,60,40,right,60,80,right,0,0.8766575188349268,0
scenario76,c1,right,80,0.2,20,left,100,100,80,right,60,100,base,1,0.0,1
