Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c4,base,20,0.8,20,right,0,100,60,base,40,20,left,1,0.0,1
scenario2,c2,left,100,0.2,100,base_left_lane,60,20,40,left,20,0,right,0,3.2738553244666067,0
scenario3,c2,left,40,0.8,40,base_left_lane,80,100,80,left,80,40,right,0,4.616075900417608,0
scenario4,c2,left,40,0.2,0,right,60,80,0,base,80,40,base,0,2.277411511441873,0
scenario5,c2,left,0,0.1,40,base_left_lane,20,40,20,left,80,100,right,0,2.624765770203416,0
scenario6,c2,left,0,0.6,40,right,80,20,60,base,60,0,base,1,0.0,1
scenario7,c4,base,0,0.6,20,left,80,40,40,base,60,60,right,0,9.91744564190482,0
scenario8,c2,left,40,0.4,80,right,100,0,80,left,20,0,base,0,3.166186347074646,0
scenario9,c2,left,20,0.1,20,base_left_lane,100,20,40,left,80,20,right,0,5.204331291404705,0
scenario10,c4,base,20,0.2,40,right,60,60,60,base,100,0,left,0,2.2030806385744763,0
scenario11,c1,right,80,0.1,60,base_left_lane,60,80,20,left,100,80,left,0,0.8775538197360182,0
scenario12,c2,left,40,0.4,0,base_left_lane,40,0,100,left,60,0,right,0,4.006497739700324,0
scenario13,c2,left,80,0.6,0,base_left_lane,100,40,0,left,100,0,right,0,5.414948128553166,0
scenario14,c2,left,0,0.4,40,right,80,20,80,base,100,60,base,0,2.0709967591511926,0
scenario15,c1,right,0,0.4,20,left,100,20,0,right,100,40,base,0,3.080576018777905,0
scenario16,c1,left,80,0.6,80,left,40,40,40,right,20,0,base,0,2.740426918294097,0
scenario17,c1,right,40,0.6,0,left,100,0,0,right,20,0,base,0,3.115124159499462,0
scenario18,c1,right,80,0.6,100,base,100,80,60,right,0,0,left,0,5.277973083217447,0
scenario19,c4,right,0,1.0,20,right,80,40,40,base,80,80,left,1,0.0,1
scenario20,c4,base,80,0.6,60,right,60,80,40,base,40,60,left,0,4.199919321488687,0
scenario21,c1,right,80,1.0,60,left,80,40,100,right,60,80,base,0,2.7804144688653345,0
scenario22,c1,right,0,0.1,80,base_left_lane,80,80,20,left,100,100,left,0,0.7289772664366014,0
scenario23,c2,base,20,1.0,0,base_left_lane,40,40,80,left,40,40,right,0,4.199487719701271,0
scenario24,c1,right,0,0.1,100,base,0,0,100,right,80,0,left,0,5.840404080758785,0
scenario25,c1,left,80,0.4,20,left,40,100,40,right,40,40,base,0,2.6902477151536424,0
scenario26,c2,left,80,0.1,80,base_left_lane,0,100,60,left,20,20,right,0,3.3702988069404487,0
scenario27,c4,base,20,0.8,0,right,100,80,60,base,40,80,left,0,2.592799182767748,0
scenario28,c4,base,80,0.4,60,right,20,0,20,base,20,60,left,0,3.674516054159904,0
scenario29,c4,base,60,1.0,60,right,0,40,80,base,60,60,left,1,0.0,1
scenario30,c4,base,0,0.2,0,right,60,100,100,base,80,40,left,0,2.351419668746664,0
scenario31,c4,base,100,0.8,40,right,80,20,20,base,80,20,left,1,0.0,1
