instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario64,c1,2,60,0.6,60,0,100,60,60,2,80,100,60,1,0,3.157134017957831,0
scenario65,c1,2,40,0.8,100,2,20,20,60,2,60,40,60,0,0,4.034840920917591,0
scenario66,c2,1,80,0.8,100,1,60,80,40,1,80,0,-60,2,0,6.828619375664711,0
scenario67,c4,0,80,1.0,100,2,80,100,0,2,40,100,30,2,0,0.8924005534711156,0
scenario68,c1,2,60,0.1,0,2,100,0,40,2,60,60,-90,0,0,2.213779105501325,0
scenario69,c2,0,80,0.4,60,1,0,60,0,1,0,100,30,2,0,3.143118944391446,0
scenario70,c1,2,0,0.6,80,2,0,0,80,2,40,0,-90,0,0,2.174410025643715,0
scenario71,c2,0,40,0.6,20,1,0,20,40,1,100,60,-30,2,0,2.6746214892526154,0
scenario72,c1,2,60,0.6,100,2,40,80,100,2,80,20,60,0,0,3.262663161379342,0
scenario73,c2,1,60,0.8,0,1,0,80,40,1,40,60,30,2,0,3.677397894137469,0
scenario74,c1,2,40,1.0,100,2,100,0,40,2,100,40,0,0,0,3.339679800009881,0
scenario75,c2,0,100,0.4,40,1,0,0,40,1,80,100,-90,2,0,2.8177136146822885,0
scenario76,c4,0,40,0.1,40,3,40,40,80,0,20,40,90,1,0,1.4276007625509453,0
scenario77,c1,1,100,1.0,20,2,20,40,40,2,80,40,90,0,0,2.082920244215073,0
scenario78,c2,1,100,0.4,60,1,40,80,20,1,40,20,90,2,0,5.074341477333114,0
scenario79,c2,1,20,0.4,0,1,40,80,0,1,60,80,90,2,0,4.0932356384813104,0
scenario80,c1,2,0,0.6,40,2,100,40,80,2,40,80,90,0,0,3.450447917200137,0
scenario81,c4,0,60,0.6,80,3,100,60,60,0,40,60,-30,1,0,2.7307668918836594,0
scenario82,c1,2,80,1.0,100,2,80,0,80,2,60,20,0,0,0,2.179850286682014,0
scenario83,c4,0,0,0.1,40,3,20,80,80,0,40,0,90,1,0,2.777402657854891,0
scenario84,c4,0,0,0.4,0,3,0,60,100,0,80,20,0,1,0,1.7057554166675328,0
scenario85,c2,1,0,0.8,40,3,60,80,0,1,80,20,30,0,0,3.391799030837931,0
scenario86,c2,0,0,0.6,40,1,80,20,20,1,0,20,-60,2,0,3.726861250962027,0
scenario87,c4,0,80,0.4,60,3,40,40,80,0,20,0,30,1,0,3.671852442305114,0
scenario88,c4,0,0,0.8,0,2,0,20,60,2,0,100,-90,2,0,1.0500850830441328,0
scenario89,c4,2,60,0.4,80,3,40,40,60,0,0,40,60,1,0,4.865870738117029,0
scenario90,c4,2,0,0.2,60,3,80,0,100,0,20,0,60,1,0,3.8431793268982175,0
scenario91,c4,0,60,0.4,80,2,80,80,0,0,100,60,60,2,0,2.5917196557570312,0
scenario92,c1,2,0,0.8,80,1,60,100,20,1,60,40,-60,1,0,0.946753609361054,0
scenario93,c2,0,40,0.1,0,1,40,20,40,1,0,60,30,2,0,2.355915765755393,0
scenario94,c1,2,100,0.1,20,2,0,20,60,2,40,0,0,0,0,2.611912937962827,0
scenario95,c4,2,80,0.2,20,3,80,0,40,0,20,0,-30,1,0,4.677115089987407,0
scenario96,c2,0,40,0.4,40,1,40,20,100,1,20,0,60,2,0,3.144938799924981,0
scenario97,c2,0,40,0.8,40,1,60,20,80,1,20,0,-90,2,0,3.303843271073309,0
scenario98,c4,0,40,0.4,20,3,80,60,60,0,60,20,0,1,0,2.607094001244101,0
scenario99,c4,0,40,0.4,100,3,100,0,80,0,60,60,30,1,0,3.066192059351424,0
scenario100,c2,0,100,0.6,40,1,20,0,60,1,60,20,60,2,0,3.5458529730698136,0
scenario101,c2,1,100,0.1,80,3,0,40,40,0,0,80,-60,0,0,1.8820870800655864,0
scenario102,c1,2,100,0.1,100,2,40,0,40,2,0,100,-90,0,0,3.1243698223005216,0
scenario103,c4,2,60,0.8,100,3,100,40,80,0,20,0,90,1,0,4.185563688786008,0
