instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario89,0,0,100,0,80,90,100,100,0,0.8,False,1.074,0
scenario90,1,0,80,0,60,-90,100,80,0,0.8,False,0.838,0
scenario91,1,20,40,0,0,90,100,60,0,1.0,False,0.975,0
scenario92,1,0,100,0,0,60,80,100,0,1.0,False,0.831,0
scenario93,1,0,0,0,0,60,80,80,0,0.6,False,0.807,0
scenario94,1,0,60,20,20,30,100,80,0,0.8,False,0.883,0
scenario95,1,0,0,20,0,60,80,40,20,0.8,False,0.794,0
scenario96,0,80,60,0,0,60,80,60,0,0.8,False,1.218,0
scenario97,1,0,80,0,0,60,100,80,0,0.8,False,0.842,0
scenario98,0,0,100,0,60,90,0,100,0,0.8,False,1.128,0
scenario99,1,0,40,20,80,90,80,80,0,1.0,False,0.962,0
scenario100,1,0,40,0,60,-90,20,80,0,1.0,False,0.898,0
scenario101,1,0,80,20,0,0,80,100,100,0.4,False,0.802,0
scenario102,1,40,60,0,40,90,100,80,0,0.8,False,0.78,0
scenario103,0,20,80,0,60,-90,100,80,20,0.8,False,1.06,0
scenario104,0,0,80,0,0,30,100,60,20,0.8,False,1.209,0
scenario105,0,0,60,0,20,0,100,100,0,1.0,False,1.07,0
scenario106,1,40,100,0,0,90,100,80,80,1.0,False,0.82,0
scenario107,1,20,80,100,20,60,0,100,20,0.8,False,0.899,0
scenario108,1,0,60,20,20,90,60,80,0,0.8,False,0.886,0
scenario109,1,40,60,0,40,90,100,80,0,0.8,False,0.751,0
scenario110,0,80,100,0,40,90,20,80,0,0.8,False,1.216,0
scenario111,1,40,80,0,80,-90,100,80,40,0.8,False,0.965,0
scenario112,1,0,60,40,20,90,60,80,20,0.8,False,0.788,0
scenario113,0,0,100,0,60,-90,20,60,0,1.0,False,1.194,0
scenario114,1,0,60,80,40,60,0,100,40,1.0,False,4.536,0
scenario115,0,0,40,40,100,0,60,20,60,1.0,False,1.098,0
scenario116,1,0,100,0,20,90,40,100,20,0.8,False,0.862,0
scenario117,1,20,80,0,40,-60,0,100,20,0.6,False,0.887,0
scenario118,1,0,40,0,80,-90,100,100,0,1.0,False,0.931,0
scenario119,1,20,80,0,0,30,80,80,0,1.0,False,0.815,0
scenario120,1,0,80,20,0,60,100,40,100,0.6,False,0.779,0
scenario121,1,40,60,0,40,90,100,80,0,0.8,False,0.825,0
scenario122,1,0,20,20,100,-90,100,100,0,1.0,False,0.874,0
scenario123,1,40,60,0,40,90,100,100,0,0.8,False,0.779,0
scenario124,0,60,60,40,20,90,60,60,0,1.0,False,1.11,0
scenario125,0,20,60,0,80,-90,80,80,20,0.6,False,1.048,0
scenario126,0,20,60,0,60,-30,20,100,40,0.4,False,1.066,0
scenario127,1,0,100,20,20,-30,100,100,20,0.1,False,0.917,0
scenario128,0,0,40,40,100,30,60,0,80,1.0,False,1.112,0
scenario129,1,0,60,40,20,60,0,80,20,1.0,False,0.926,0
scenario130,1,20,80,0,40,90,100,80,20,0.6,False,0.928,0
