Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
Z_{1},-0.4555,-0.1402,0.0339,0.0719,0.9173,-0.047,-0.0283,0.1952,-0.8037,-0.0412,-0.0917,-0.0282,-0.1889
Z_{2},0.4204,-0.0536,0.1004,0.0399,0.2636,0.0063,0.0216,0.1282,0.2467,0.0801,-0.0102,-0.0153,-0.5612
