Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},-0.6756,-0.3776,-0.6687,-0.4741,0.3784,-0.0989,-0.542,-0.6952,0.3694,-0.3595,0.157,-0.1296
Z_{2},0.5886,0.0571,0.204,0.3082,0.4963,-0.8324,0.8267,0.6516,-0.3974,0.0317,0.3569,-0.4303
