instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario77,1,100,60,0,40,-30,60,40,80,0.2,0,0.8531970857442241,0
scenario78,1,80,60,0,0,0,80,20,20,0.1,0,2.222541592436259,0
scenario79,0,0,60,40,0,-90,20,60,20,0.0,0,1.3737134272151013,0
scenario80,0,0,60,80,80,30,40,0,20,0.4,0,1.09900054825259,0
scenario81,0,0,100,20,80,60,40,0,20,0.4,0,1.3901813092845452,0
scenario82,0,0,100,20,80,90,40,0,20,0.4,0,1.3778845360302705,0
scenario83,0,0,80,60,80,30,40,0,20,0.4,0,1.1067506239919482,0
scenario84,0,0,100,20,0,30,40,0,20,0.4,0,1.3931129581567698,0
scenario85,0,0,100,20,80,30,40,0,20,0.0,0,1.3116467976170176,0
scenario86,0,0,100,20,80,60,40,0,20,0.4,0,1.3800642112232089,0
scenario87,0,0,100,20,80,90,40,0,20,0.4,0,1.5965798990974294,0
scenario88,0,0,100,20,80,60,40,0,20,0.4,0,1.3623804965867072,0
scenario89,0,0,100,20,80,90,40,0,20,0.4,0,1.358777223230501,0
scenario90,0,0,100,80,80,30,40,0,60,0.4,0,0.6660132055397888,0
scenario91,0,0,100,0,80,30,40,0,40,0.4,0,1.4494552890639834,0
scenario92,0,0,100,80,80,30,40,80,20,0.4,0,1.201490066316252,0
scenario93,0,0,100,20,60,30,40,0,20,0.1,0,1.3644159035632688,0
scenario94,0,100,100,20,80,30,40,0,60,0.4,0,1.316785884279406,0
scenario95,0,0,100,20,80,-30,40,0,0,0.4,0,0.956282071323555,0
scenario96,0,0,100,80,80,30,20,0,20,0.4,0,0.9401145279347498,0
scenario97,0,100,100,20,80,30,40,80,20,0.4,0,1.3879341049245366,0
scenario98,0,0,100,20,80,30,40,0,40,0.1,0,1.338850284830564,0
scenario99,0,0,40,80,80,30,40,0,20,0.4,0,1.0158762544145314,0
scenario100,0,100,100,60,80,30,40,0,20,0.4,0,1.431269766332322,0
scenario101,0,100,100,20,80,30,20,0,20,0.4,0,1.331868668402027,0
scenario102,0,0,100,20,80,0,40,0,100,0.4,0,0.6163684570248911,0
scenario103,0,0,20,80,80,30,40,0,20,0.4,0,1.0336522256823353,0
scenario104,0,0,100,20,80,-30,40,0,100,0.4,0,1.421104768942864,0
scenario105,0,0,100,20,80,30,40,60,20,0.2,0,1.4699202651864038,0
scenario106,0,100,40,20,80,30,40,0,20,0.4,0,1.3843773087078923,0
scenario107,0,100,100,20,80,30,40,0,20,1.0,0,1.3304649532318922,0
scenario108,0,100,20,20,80,30,40,0,20,0.4,0,1.342095956200594,0
scenario109,0,0,100,20,80,30,40,60,60,0.4,0,1.4295609977018469,0
scenario110,0,0,100,20,20,30,40,0,20,0.8,0,1.6219197579453923,0
scenario111,0,80,100,20,80,30,40,0,0,0.4,0,1.3255121281003737,0
scenario112,0,0,100,20,60,30,40,0,0,0.4,0,1.354372436790298,0
scenario113,0,100,100,100,80,30,40,0,20,0.4,0,1.351329544269681,0
scenario114,0,0,100,60,80,30,40,60,20,0.4,0,0.8703595045805067,0
scenario115,0,0,100,0,80,30,40,0,20,0.8,0,1.3324218473279337,0
scenario116,0,60,100,80,80,30,40,0,20,0.4,0,1.618398119627421,0
scenario117,0,0,100,80,80,30,40,0,20,0.6,0,0.8991399100998536,0
scenario118,0,0,40,20,80,30,40,60,20,0.4,0,1.452385518760576,0
scenario119,0,40,100,20,80,30,40,0,20,0.2,0,1.3602383857954858,0
scenario120,0,0,100,0,80,30,40,100,20,0.4,0,1.4171862534904556,0
scenario121,0,0,100,0,80,30,0,0,20,0.4,0,1.5444692824647115,0
scenario122,0,0,20,20,80,30,40,60,20,0.4,0,1.4278005484203713,0
scenario123,0,100,100,20,80,30,40,0,20,0.6,0,1.3566109048667687,0
scenario124,0,100,100,20,100,30,40,0,20,0.4,0,1.332043375593336,0
scenario125,0,40,100,20,80,30,40,80,20,0.4,0,1.286715734575265,0
scenario126,0,0,100,100,80,30,40,60,20,0.4,0,1.0618197522753348,0
scenario127,0,40,100,60,80,30,40,0,20,0.4,0,0.9645853279013892,0
scenario128,0,40,100,20,80,30,20,0,20,0.4,0,1.4429147132431623,0
scenario129,0,20,100,20,80,-30,40,0,20,0.4,0,0.9543040919369709,0
scenario130,0,60,100,20,80,30,40,60,20,0.4,0,1.4403773712672538,0
scenario131,0,0,100,20,0,-60,40,0,20,0.4,0,1.1214887178214443,0
scenario132,0,0,100,20,80,-60,40,0,20,0.0,0,0.9521209736912232,0
scenario133,0,0,100,40,80,-60,40,0,20,0.4,0,0.927546160200952,0
scenario134,0,40,100,20,80,30,40,0,20,1.0,0,1.299958600179561,0
scenario135,0,40,20,20,80,30,40,0,20,0.4,0,1.404022876097519,0
scenario136,0,0,100,20,80,30,40,60,20,0.6,0,1.467561046358415,0
scenario137,0,0,100,20,100,30,40,60,20,0.4,0,1.4025315066409425,0
scenario138,0,0,100,20,80,30,40,20,20,0.8,0,1.3185512839217186,0
scenario139,0,20,100,20,80,30,80,0,20,0.4,0,1.3419637232894126,0
scenario140,0,20,100,20,80,30,40,0,80,0.4,0,0.955133668593854,0
scenario141,0,0,100,20,80,30,0,20,20,0.4,0,1.5076160645367729,0
scenario142,0,0,100,20,40,30,40,0,20,0.2,0,1.3566409153015986,0
scenario143,0,0,100,20,80,30,40,0,0,0.8,0,1.4011246447951946,0
scenario144,0,0,100,20,40,30,40,0,60,0.4,0,1.4105011726460832,0
scenario145,0,20,100,20,60,30,40,0,20,0.4,0,1.3854725413015314,0
scenario146,0,0,100,20,80,30,40,100,0,0.4,0,1.34517873589048,0
scenario147,0,0,100,20,40,30,40,80,20,0.4,0,1.5782759085138185,0
scenario148,0,40,100,20,80,30,40,0,20,0.6,0,1.3619711448527856,0
scenario149,0,0,100,20,80,30,0,0,0,0.4,0,1.4197060624050737,0
scenario150,0,0,60,20,80,30,40,40,20,0.4,0,1.3417338588995942,0
scenario151,0,40,100,20,100,30,40,0,20,0.4,0,1.3412861988203786,0
