instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario64,c1,2,60,0.6,60,0,100,60,60,2,80,100,60,1,0,1.828163363918612,0
scenario65,c1,2,40,0.8,100,2,20,20,60,2,60,40,60,0,0,2.9332469062024384,0
scenario66,c2,1,80,0.8,100,1,60,80,40,1,80,0,-60,2,0,4.254942928911036,0
scenario67,c4,0,80,1.0,100,2,80,100,0,2,40,100,30,2,0,2.752429549093652,0
scenario68,c1,2,60,0.1,0,2,100,0,40,2,60,60,-90,0,0,3.026985658154222,0
scenario69,c2,0,80,0.4,60,1,0,60,0,1,0,100,30,2,0,1.7877770708291885,0
scenario70,c1,2,0,0.6,80,2,0,0,80,2,40,0,-90,0,0,2.625599071012702,0
scenario71,c2,0,40,0.6,20,1,0,20,40,1,100,60,-30,2,0,1.8907757189688128,0
scenario72,c1,2,60,0.6,100,2,40,80,100,2,80,20,60,0,0,2.3304342813780976,0
scenario73,c2,1,60,0.8,0,1,0,80,40,1,40,60,30,2,0,2.949680806967121,0
scenario74,c1,2,40,1.0,100,2,100,0,40,2,100,40,0,0,0,3.2765327623587504,0
scenario75,c2,0,100,0.4,40,1,0,0,40,1,80,100,-90,2,0,1.9042672727926324,0
scenario76,c4,0,40,0.1,40,3,40,40,80,0,20,40,90,1,0,2.943051677718888,0
scenario77,c1,1,100,1.0,20,2,20,40,40,2,80,40,90,0,0,3.087189472965505,0
scenario78,c2,1,100,0.4,60,1,40,80,20,1,40,20,90,2,0,3.806574704799309,0
scenario79,c2,1,20,0.4,0,1,40,80,0,1,60,80,90,2,0,3.757040137102304,0
scenario80,c1,2,0,0.6,40,2,100,40,80,2,40,80,90,0,0,2.950668952372195,0
scenario81,c4,0,60,0.6,80,3,100,60,60,0,40,60,-30,1,0,2.368552103956709,0
scenario82,c1,2,80,1.0,100,2,80,0,80,2,60,20,0,0,0,2.6164950081032496,0
scenario83,c4,0,0,0.1,40,3,20,80,80,0,40,0,90,1,0,2.7023618473605686,0
scenario84,c4,0,0,0.4,0,3,0,60,100,0,80,20,0,1,0,2.414234803818679,0
scenario85,c2,1,0,0.8,40,3,60,80,0,1,80,20,30,0,0,3.934683917762052,0
scenario86,c2,0,0,0.6,40,1,80,20,20,1,0,20,-60,2,0,2.035024908038176,0
scenario87,c4,0,80,0.4,60,3,40,40,80,0,20,0,30,1,0,2.90732422844237,0
scenario88,c4,0,0,0.8,0,2,0,20,60,2,0,100,-90,2,0,2.72910159515252,0
scenario89,c4,2,60,0.4,80,3,40,40,60,0,0,40,60,1,1,9999.0,1
scenario90,c4,2,0,0.2,60,3,80,0,100,0,20,0,60,1,0,1.8816062515765464,0
scenario91,c4,0,60,0.4,80,2,80,80,0,0,100,60,60,2,0,3.090616749394283,0
scenario92,c1,2,0,0.8,80,1,60,100,20,1,60,40,-60,1,0,0.7802912381352539,0
scenario93,c2,0,40,0.1,0,1,40,20,40,1,0,60,30,2,0,0.994249287590704,0
scenario94,c1,2,100,0.1,20,2,0,20,60,2,40,0,0,0,0,2.6960025066959363,0
scenario95,c4,2,80,0.2,20,3,80,0,40,0,20,0,-30,1,0,2.7825959736836707,0
scenario96,c2,0,40,0.4,40,1,40,20,100,1,20,0,60,2,0,1.699037064657341,0
scenario97,c2,0,40,0.8,40,1,60,20,80,1,20,0,-90,2,0,3.026083587247077,0
scenario98,c4,0,40,0.4,20,3,80,60,60,0,60,20,0,1,0,2.268584816824251,0
scenario99,c4,0,40,0.4,100,3,100,0,80,0,60,60,30,1,0,2.459340622435574,0
